Math, What is the sign of ' Addition '?, [1). %-2). *-3). +-4). _], 3,
Math, 1,2,3,4,5,_,_,8,9,10. Fill in the missing numbers?, [1). 11_12-2). 7_6-3). 7_7-4). 6_7], 4, 
Math, 3,6,9,_. Fill in the missing number, [1). 12-2). 10-3). 11-4). 13], 1, 
Math, What = 43 ?, [1). 42+1-2). 7+8], 1, 
Math, May has ____ days, [1). 56-2). 31-3). 32-4). 35], 2, 
Know, What is the speed of a cheetah?, [1). 20_90km-2). 80_130km-3). 100_190km-4). 70_100km], 2, 
Know, When is World Tourism Day celebrated?, [1). August 27th-2). October 27th-3). September 27th-4). January 27th], 3, 
Know, when was the first computer invented, [1). 1946-2). 1944-3). 1951-4). 1947], 1, 
Know, What is the largest country ?, [1). India-2). Russia-3). Japan-4). China], 2, 
Know, What is the king of fruits in Malaysia?, [1). Durian-2). Rambutan-3). Mangosteen (manggis)-4). Dragon fruit], 1, 
Eng, You (lie)., [1). are lying. [1). are lying-2). is lying-3). lied-4). are ling], 1, 
Eng, She (brush) her teeth., [1). are brushing-2). am brushing-3). is brushing-4). is brushed], 3, 
Eng, My brother (write) a novel., [1). is writing-2). wrote-3). writes-4). are writing], 1, 
Eng, I (read) a book., [1). reads-2). am reading-3). is reading-4). reading], 2, 
Eng, The baby (drink) some milk., [1). are drinking-2). drunk-3). is drinking-4). drinking], 3, 